trt,leachate,rep,DIC_ugLd,DIC_13C_ugLd
C,0,A,56.63791034208844,0.6985086025589253
C,0,B,63.27364464598667,0.7757031687105144
C,0,C,50.97364556200229,0.6400064427997283
C,1,A,90.28116802283527,1.5544926564084685
C,1,B,100.13533637477273,1.7628592280222297
C,1,C,91.86345516991383,1.7046405676334317
CNP,0,A,42.513454498946984,0.534407948402099
CNP,0,B,73.16816735555885,0.8688666912316778
CNP,0,C,38.12760919824188,0.49322182326217673
CNP,1,A,118.20178853072281,1.9926669709985465
CNP,1,B,81.00447792601584,1.525798602714858
CNP,1,C,81.05084198034545,1.5373022703916113
NP,0,A,-32.6392065826891,-0.3331324537200746
NP,0,B,-0.4776203339922206,-0.01623531899161349
NP,0,C,-26.36137187039682,-0.24356165840427785
NP,1,A,-23.70910590016713,0.2358468506933152
NP,1,B,-10.3623325364794,0.34847178622832603
NP,1,C,-26.81107608482338,0.08024694011208656
W,0,A,-2.7275239794848534,-0.015596452441827282
W,0,B,8.193041686013203,0.08753527763081664
W,0,C,-14.007260875475877,-0.19854241612544343
W,1,A,11.731854384334628,0.4792655952829082
W,1,B,27.873532345335317,0.9085421239744724
W,1,C,14.12248212691701,0.6739278451450229
