batch,trt,leachate,sample_datetime,delCO2_mean,delCO2_sd,DIC_mgL_mean,DIC_mgL_sd,DIC_13C_ugL_mean,DIC_13C_ugL_sd,site
1,C,0,2023-09-29T14:44:00Z,-13.47024180900641,0,20.1965098100948,0,239.67390883989674,0,fl2
1,C,1,2023-09-29T15:08:00Z,-12.814040968224358,0,20.199485232134858,0,239.8668758716924,0,fl2
1,CNP,0,2023-09-29T14:48:00Z,-13.987455000290598,0,20.179116600297803,0,239.343340036442,0,fl2
1,CNP,1,2023-09-29T15:14:00Z,-12.945772956949785,0,20.22729415132872,0,240.16512881746655,0,fl2
1,NP,0,2023-09-29T14:38:00Z,-14.733689936641024,0,20.240179757859075,0,239.8878904110756,0,fl2
1,NP,1,2023-09-29T15:02:00Z,-12.734276931275641,0,20.15650502140057,0,239.37556608613056,0,fl2
1,W,0,2023-09-29T14:31:00Z,-13.937706948365385,0,20.16575841664285,0,239.19682376822414,0,fl2
1,W,1,2023-09-29T14:55:00Z,-12.098079256141027,0,20.184523002089655,0,239.86115499713748,0,fl2
2,C,0,2023-10-04T09:45:30Z,-13.910834296211004,0.4440193074285088,20.29234268172199,0.028721486850919103,240.70466803737514,0.2468563816766221,fl2
2,C,1,2023-10-04T11:50:00Z,14.331761533598879,3.3111967222332677,20.955206484535946,0.2115161920590491,255.5989627318284,1.851084274038551,fl2
2,CNP,0,2023-10-04T09:59:00Z,-13.82130143370406,0.2738014237508134,20.624827764090824,0.017463857280405393,244.67068688770388,0.23872446490094637,fl2
2,CNP,1,2023-10-04T12:12:15Z,20.723208048209933,0.6779204149844658,20.87396988533098,0.022013925080302078,256.1987584548235,0.35332799993471437,fl2
2,NP,0,2023-10-04T09:32:30Z,-14.172464564195513,0.3974316409794933,20.270158775563676,0.043058559720383104,240.3781857738061,0.4576890118213956,fl2
2,NP,1,2023-10-04T11:02:30Z,19.38041023776175,3.076981984667606,20.405849123633878,0.04508888626511273,250.12822662803143,0.8167135082702022,fl2
2,W,0,2023-10-04T09:19:45Z,-14.70450619211859,0.5805216035425317,20.289245241551413,0.05482087847304095,240.47585290137317,0.5194870862249956,fl2
2,W,1,2023-10-04T10:37:00Z,15.509405804786805,7.82887457694651,20.468062596993697,0.15162404944396787,249.93799525401613,0.2601610288031455,fl2
