Syringe,H2O_mL,air_mL,eq_temp,ResetTime,DATETIME,samplenum,ENDTIME,CO2_ppm,delCO2,CH4,delCH4,batch
Std_2A,0,70,21.1,2023-09-30 00:58:23,2023-09-30T00:58:23Z,1,2023-09-30T00:59:03Z,1053.972314402372,-23.501468480564103,-0.0010970670746,872651.28752,1
Std_2B,0,70,21.1,2023-09-30 01:01:05,2023-09-30T01:01:05Z,2,2023-09-30T01:01:45Z,1171.4484847932692,-25.669600123102565,-0.0010970670746,872651.28752,1
Std_2C,0,70,21.1,2023-09-30 01:03:40,2023-09-30T01:03:40Z,3,2023-09-30T01:04:20Z,1206.7314327910726,-26.091221095764958,-0.0010970670746,872651.28752,1
Std_2D,0,70,21.1,2023-09-30 01:06:10,2023-09-30T01:06:10Z,4,2023-09-30T01:06:50Z,1221.0772996753847,-26.381261073589744,-0.0010970670746,872651.28752,1
NI8,70,70,21.1,2023-09-30 01:08:27,2023-09-30T01:08:27Z,5,2023-09-30T01:09:07Z,422.6130388001564,-14.101526771217948,-0.0010970670746,872651.28752,1
NI118,70,70,21.1,2023-09-30 01:10:27,2023-09-30T01:10:27Z,6,2023-09-30T01:11:07Z,470.8745501143295,-14.598903988128205,-0.0010970670746,872651.28752,1
NI117,70,70,21.1,2023-09-30 01:12:40,2023-09-30T01:12:40Z,7,2023-09-30T01:13:20Z,693.7766677258179,-16.819370440051284,-0.0010970670746,872651.28752,1
NI25,70,70,21.1,2023-09-30 01:14:49,2023-09-30T01:14:49Z,8,2023-09-30T01:15:29Z,584.6104326270872,-15.792155314653845,-0.0010970670746,872651.28752,1
NI132,70,70,21.1,2023-09-30 01:16:58,2023-09-30T01:16:58Z,9,2023-09-30T01:17:38Z,658.040848905773,-15.190799081948718,-0.0010970670746,872651.28752,1
70,70,70,21.1,2023-09-30 01:19:03,2023-09-30T01:19:03Z,10,2023-09-30T01:19:43Z,619.9720111102872,-13.91248593775641,-0.0010970670746,872651.28752,1
NI36,70,70,21.1,2023-09-30 01:21:18,2023-09-30T01:21:18Z,11,2023-09-30T01:21:58Z,851.8769117190436,-15.985263366961538,-0.0010970670746,872651.28752,1
17,70,70,21.1,2023-09-30 01:23:26,2023-09-30T01:23:26Z,12,2023-09-30T01:24:06Z,651.7944337156868,-15.816778247264956,-0.0010970670746,872651.28752,1
NI98,70,70,21.1,2023-09-30 01:25:34,2023-09-30T01:25:34Z,13,2023-09-30T01:26:14Z,449.61817090016797,-13.651879587153847,-0.0010970670746,872651.28752,1
NI9,70,70,21.1,2023-09-30 01:27:53,2023-09-30T01:27:53Z,14,2023-09-30T01:28:33Z,429.08519643977263,-14.19398038018376,-0.0010970670746,872651.28752,1
NI19,70,70,21.1,2023-09-30 01:30:01,2023-09-30T01:30:01Z,15,2023-09-30T01:30:41Z,664.7415859649808,-16.77103867644872,-0.0010970670746,872651.28752,1
NI16,70,70,21.1,2023-09-30 01:32:21,2023-09-30T01:32:21Z,16,2023-09-30T01:33:01Z,424.86385921712053,-13.780929620397435,-0.0010970670746,872651.28752,1
NI110,70,70,21.1,2023-09-30 01:34:34,2023-09-30T01:34:34Z,17,2023-09-30T01:35:14Z,436.7442270462923,-13.288604030858973,-0.0010970670746,872651.28752,1
NI69,70,70,21.1,2023-09-30 01:36:42,2023-09-30T01:36:42Z,18,2023-09-30T01:37:22Z,616.4479103185897,-15.617974514935897,-0.0010970670746,872651.28752,1
NI24,70,70,21.1,2023-09-30 01:38:49,2023-09-30T01:38:49Z,19,2023-09-30T01:39:29Z,643.9557501786244,-15.517430231153847,-0.0010970670746,872651.28752,1
NI88,70,70,21.1,2023-09-30 01:40:56,2023-09-30T01:40:56Z,20,2023-09-30T01:41:36Z,406.91514030948844,-13.77388712551282,-0.0010970670746,872651.28752,1
U005,70,70,21.1,2023-09-30 01:44:20,2023-09-30T01:44:20Z,21,2023-09-30T01:45:00Z,453.4707684187107,-11.578954851134615,-0.0010970670746,872651.28752,1
71,70,70,21.1,2023-09-30 01:46:29,2023-09-30T01:46:29Z,22,2023-09-30T01:47:09Z,491.73731823445513,-14.312591062764957,-0.0010970670746,872651.28752,1
132,70,70,21.1,2023-09-30 01:48:31,2023-09-30T01:48:31Z,23,2023-09-30T01:49:11Z,387.95524707868844,-12.309160073871794,-0.0010970670746,872651.28752,1
53,70,70,21.1,2023-09-30 01:50:39,2023-09-30T01:50:39Z,24,2023-09-30T01:51:19Z,426.5533465190222,-11.724534376807693,-0.0010970670746,872651.28752,1
13,70,70,21.1,2023-09-30 01:52:50,2023-09-30T01:52:50Z,25,2023-09-30T01:53:30Z,743.796098946309,-15.513351559833334,-0.0010970670746,872651.28752,1
31,70,70,21.1,2023-09-30 01:54:59,2023-09-30T01:54:59Z,26,2023-09-30T01:55:39Z,731.3404845791936,-16.85090962425641,-0.0010970670746,872651.28752,1
92,70,70,21.1,2023-09-30 01:58:45,2023-09-30T01:58:45Z,27,2023-09-30T01:59:25Z,590.8913574736974,-15.063497892807693,-0.0010970670746,872651.28752,1
BH11,70,70,21.1,2023-09-30 02:00:53,2023-09-30T02:00:53Z,28,2023-09-30T02:01:33Z,672.5278178645551,-15.642237078794873,-0.0010970670746,872651.28752,1
87,70,70,21.1,2023-09-30 02:02:57,2023-09-30T02:02:57Z,29,2023-09-30T02:03:37Z,588.4383767037107,-14.512774902726497,-0.0010970670746,872651.28752,1
82,70,70,21.1,2023-09-30 02:05:04,2023-09-30T02:05:04Z,30,2023-09-30T02:05:44Z,425.16376123634103,-13.159393788679488,-0.0010970670746,872651.28752,1
U018,70,70,21.1,2023-09-30 02:07:10,2023-09-30T02:07:10Z,31,2023-09-30T02:07:50Z,477.53909815973975,-12.949388160807693,-0.0010970670746,872651.28752,1
30,70,70,21.1,2023-09-30 02:09:14,2023-09-30T02:09:14Z,32,2023-09-30T02:09:54Z,603.6048637220218,-13.91335555074359,-0.0010970670746,872651.28752,1
BH15,70,70,21.1,2023-09-30 02:11:23,2023-09-30T02:11:23Z,33,2023-09-30T02:12:03Z,415.31935370629617,-12.678693775641026,-0.0010970670746,872651.28752,1
U048,70,70,21.1,2023-09-30 02:13:37,2023-09-30T02:13:37Z,34,2023-09-30T02:14:17Z,437.4275703836282,-12.471624135474359,-0.0010970670746,872651.28752,1
1,70,70,21.1,2023-09-30 02:15:39,2023-09-30T02:15:39Z,35,2023-09-30T02:16:19Z,680.0049384209692,-16.356553730871795,-0.0010970670746,872651.28752,1
139,70,70,21.1,2023-09-30 02:17:49,2023-09-30T02:17:49Z,36,2023-09-30T02:18:29Z,499.15201248545,-14.868475885153845,-0.0010970670746,872651.28752,1
