samplenum,date,trt,leachate,treatment,vol_acid,final_pH,alk_meqL
1,,,,DI,0.13,4.37,0.052
2,,,,tap,7.75,4.14,3.1
3,,,,tap_NP,7.37,4.33,2.948
4,7/18/2023,NP,1,LW_NP_L_7/18,4.04,4.4,1.616
5,7/18/2023,CNP,0,LW_CNP_7/18,4.06,4.4,1.624
6,7/18/2023,C,1,LW_C_L_7/18,4.12,4.37,1.648
7,7/13/2023,CNP,1,LW_CNP_L_7/13,4.05,4.4,1.62
8,7/18/2023,W,0,LW_7/18,4.13,4.49,1.652
9,7/13/2023,NP,1,LW_NP_L_7/13,4.24,4.05,1.696
10,7/13/2023,NP,0,LW_NP_7/13,4.02,4.55,1.608
11,7/13/2023,C,1,LW_C_L_7/13,4,4.5,1.6
12,7/18/2023,NP,0,LW_NP_7/18,4.15,4.44,1.66
13,7/18/2023,CNP,1,LW_CNP_L_7/18,4.01,4.47,1.604
14,7/18/2023,C,0,LW_C_7/18,4.01,4.5,1.604
15,7/18/2023,W,1,LW_L_7/18,4.07,4.41,1.628
16,7/13/2023,W,0,LW_7/13,4.06,4.48,1.624
17,7/13/2023,W,1,LW_L_7/13,4.01,4.41,1.604
18,7/13/2023,C,0,LW_C_7/13,4.1,4.48,1.64
19,7/13/2023,CNP,0,LW_CNP_7/13,4.03,4.42,1.612
