samplenum,date,site,trt,leachate,vol h20,vol_acid,starting_pH,final_pH,,alk_meqL,notes
1,9/29/2023,LW,W,0,,,,,,0,probe wasn't reading correctlhy
2,9/29/2023,LW,W,1,50,4.19,,4.57,,1.676,probe still questionable
3,9/29/2023,LW,C,0,50,4.16,7.96,4.49,,1.664,
4,9/29/2023,LW,C,1,50,4.16,7.78,4.5,,1.664,
5,9/29/2023,LW,NP,0,50,4.19,8.05,4.5,,1.676,
6,9/29/2023,LW,NP,1,50,4.12,7.91,4.49,,1.648,
7,9/29/2023,LW,CNP,0,50,4.27,7.78,4.3,,1.708,overshot
8,9/29/2023,LW,CNP,1,50,4.16,7.81,4.45,,1.664,
9,9/29/2023,SW,W,0,50,3.86,7.68,4.47,,1.544,
10,9/29/2023,SW,W,1,50,3.77,7.78,4.47,,1.508,
11,9/29/2023,SW,C,0,50,3.82,7.87,4.44,,1.528,
12,9/29/2023,SW,C,1,50,3.8,7.8,4.5,,1.52,
13,9/29/2023,SW,NP,0,50,3.83,7.79,4.5,,1.496,
14,9/29/2023,SW,NP,1,50,3.74,7.82,4.49,,1.512,
15,9/29/2023,SW,CNP,0,50,3.78,7.7,4.45,,1.504,
16,9/29/2023,SW,CNP,1,50,3.76,7.78,4.47,,1.64,
17,10/4/2023,LW,W,0,50,4.1,7.99,4.5,,1.64,
18,10/4/2023,LW,W,1,50,4.19,7.93,4.34,,1.676,overshot
19,10/4/2023,LW,C,0,50,4.18,7.94,4.51,,1.672,
20,10/4/2023,LW,C,1,50,4.1,7.84,4.49,,1.64,
21,10/4/2023,LW,NP,0,50,4.14,7.99,4.5,,1.656,
22,10/4/2023,LW,NP,1,50,4.14,7.84,4.52,,1.656,
23,10/4/2023,LW,CNP,0,50,4.2,7.84,4.5,,1.68,
24,10/4/2023,LW,CNP,1,50,4.1,7.79,4.48,,1.64,
25,10/4/2023,SW,W,0,50,3.7,7.85,4.52,,1.48,
26,10/4/2023,SW,W,1,50,3.71,7.8,4.51,,1.484,
27,10/4/2023,SW,C,0,45,3.57,7.85,4.05,,1.586666667,overshot
28,10/4/2023,SW,C,1,50,3.7,7.8,4.53,,1.48,
29,10/4/2023,SW,NP,0,50,3.74,7.86,4.52,,1.496,
30,10/4/2023,SW,NP,1,50,3.7,7.79,4.5,,1.48,
31,10/4/2023,SW,CNP,0,50,4.01,7.84,4.07,,1.604,overshot
32,10/4/2023,SW,CNP,1,50,3.68,7.73,4.46,,1.472,
