samplenum,batch,trt,leachate,treatment,vol_acid,final_pH,alk_meqL,date
1,1,1,0,NSC_1_1,5.63,4.27,2.252,7/21/2023
2,1,2,0,NSC_1_2,5.34,4.49,2.136,7/21/2023
3,1,3,0,NSC_1_3,5.33,4.48,2.132,7/21/2023
4,1,4,0,NSC_1_4,5.94,3.9,2.376,7/21/2023
5,1,5,1,NSC_1_5,5.41,4.46,2.164,7/21/2023
6,1,6,1,NSC_1_6,5.15,4.5,2.06,7/21/2023
7,1,7,1,NSC_1_7,5.2,4.47,2.08,7/21/2023
8,1,8,1,NSC_1_8,5.33,4.5,2.132,7/21/2023
9,2,1,0,NSC_2_1,5.37,4.46,2.148,7/27/2023
10,2,2,0,NSC_2_2,5.24,4.5,2.096,7/27/2023
11,2,3,0,NSC_2_3,5.33,4.44,2.132,7/27/2023
12,2,4,0,NSC_2_4,5.26,4.5,2.104,7/27/2023
13,2,5,1,NSC_2_5,5.2,4.5,2.08,7/27/2023
14,2,6,1,NSC_2_6,5.38,4.44,2.152,7/27/2023
15,2,7,1,NSC_2_7,5.3,4.43,2.12,7/27/2023
16,2,8,1,NSC_2_8,5.17,4.45,2.068,7/27/2023
