site,trt,carbon,nuts,excess_13C_DOC,excess_13C_sd,excess_12C_DOC
fl,C,Glucose,No Nutrients,-8.63061987684279,NA,-636.5379343141567
fl,CNP,Glucose,Nutrients,-2.311527214075049,NA,27.11711046795334
fl,NP,No Glucose,Nutrients,0.0650089348873093,NA,2.246861161044748
fl,W,No Glucose,No Nutrients,-1.5218202889265218,NA,17.915783137717284
nyack_mc,C,Glucose,No Nutrients,-1.3535752290361915,NA,-64.90919893216444
nyack_mc,CNP,Glucose,Nutrients,0.7918062402367695,NA,70.067993357618093
nyack_mc,NP,No Glucose,Nutrients,0.6818880762057041,NA,-43.45798162324532
nyack_mc,W,No Glucose,No Nutrients,2.122823820055393,NA,50.31392107496715
nyack_sc,C,Glucose,No Nutrients,-1.3320090690113109,NA,-6.0447162672563195
nyack_sc,CNP,Glucose,Nutrients,0.886143749882094,NA,69.99096588054326
nyack_sc,NP,No Glucose,Nutrients,0.964505188451788,NA,12.95106055223575
nyack_sc,W,No Glucose,No Nutrients,0.25583736103295296,NA,-52.55803881579078
