effect,site,model_estimate,est_sd,CI_95
carbon,"Flathead Lake, July",20.333405004624492,11.625179952752276,22.785352707394463
carbon,"Flathead Lake, October",2.3491881670212535,11.625179952752276,22.785352707394463
carbon,Nyack Main Channel,15.6662215265039,13.166757861056773,25.806845407671275
carbon,Nyack Side Channel,61.98648290699541,13.166757861056773,25.806845407671275
carbon,Yellow Bay Creek,82.9137436592923,11.625179952752276,22.785352707394463
nutrients,"Flathead Lake, July",9.711245801127577,1.2781471350039333,2.505168384607709
nutrients,"Flathead Lake, October",16.136447626161846,1.2781471350039333,2.505168384607709
nutrients,Nyack Main Channel,13.277200239656809,1.4500519838110433,2.842101888269645
nutrients,Nyack Side Channel,5.553732987716416,1.4500519838110433,2.842101888269645
nutrients,Yellow Bay Creek,7.687732553551545,1.2781471350039333,2.505168384607709
carbon:nutrients,"Flathead Lake, July",51.0029998232666,9.119613064995148,17.87444160739049
carbon:nutrients,"Flathead Lake, October",90.37357634510843,9.119613064995148,17.87444160739049
carbon:nutrients,Nyack Main Channel,71.902533062329,10.336051752142305,20.258661434198917
carbon:nutrients,Nyack Side Channel,20.15633470930164,10.336051752142305,20.258661434198917
carbon:nutrients,Yellow Bay Creek,28.41863481418462,9.119613064995148,17.87444160739049
