time_interval,treatment,DIC_13C
T0,LW,317.38811926335967
T0,LW,316.54157664914857
T0,LW,317.26719253035196
T0,LW,317.3590793902619
T0,LW,316.20438002648274
T0,LW,316.8337535634597
T0,LW,315.5849525593649
T0,LW,316.1140364251677
T1,LW,316.2285587414358
T1,LW,316.4805303889416
T1,LW,317.46317133133556
T1,LW,317.64376917740304
T2,LW,319.84805072275884
T2,LW,320.0004220795015
T2,LW,319.15739827825854
T2,LW,319.54663501707387
T3,LW,322.3467367292623
T3,LW,328.213752250643
T3,LW,322.71944414413304
T3,LW,322.6210849007212
T4,LW,322.2661186980944
T4,LW,324.21263372263155
T4,LW,323.3195701117572
T4,LW,NA
T4,CNP,358.03435059883304
T4,CNP,356.76245562280565
T4,CNP,357.2613269639927
T4,CNP,356.79959217315474
T4,NP,340.96490126838336
T4,NP,342.2649863414387
T4,NP,339.34351845621194
T4,NP,339.08101211467203
T4,C,342.20580528260183
T4,C,338.8015521753246
T4,C,337.4332017301609
T4,C,340.08609822208575
T5,LW,324.5444407064393
T5,LW,328.57062251002236
T5,LW,325.7236529741902
T5,LW,323.3263424056836
T5,C,341.21587887366155
T5,C,342.68252496403596
T5,C,342.7150545778911
T5,C,342.7643341912318
T5,NP,338.79953854535194
T5,NP,339.13305342695446
T5,NP,338.83579141839266
T5,CNP,358.9789714526387
T5,CNP,359.95564405507014
T5,CNP,358.5301762653267
T6,LW_noleachate,308.75497485532975
T6,LW_noleachate,308.75497485532975
T6,LW_noleachate,311.65218452505803
T6,LW_noleachate,311.65218452505803
T6,LW_noleachate,310.6814007654453
T6,LW_noleachate,310.6814007654453
T6,LW_noleachate,310.65945352666387
T6,LW_noleachate,310.65945352666387
NA,NA,NA
